CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,State,State Name,FIPS State Code,FIPS Place Code,Latitude,Longitude,Population,Population (2010),10 Year Population Growth,Population Density,Migration Rate Since Previous Year,Mean Travel Time,Public Transit,Bicycle,Walkability,Public Transit+Bicycle+Walkability,Per Capita Income,Median Household Income,Poverty Rate,Median Property Value,Employed Population,Employment Rate,Median Gross Rent,Median Owner Cost With Mortgage,Median Owner Cost Without Mortgage,Owner-Occupied Housing Unit Rate,Median Age,Population 0-9,Population 10-19,Population 20-29,Population 30-39,Population 40-49,Population 50-59,Population 60-69,Population 70-79,Population Over 80,Population Under 18,Population 18-64,Population Over 65,Percent Under 18,Percent 18-64,Percent Over 65,Percent 0-9,Percent 10-19,Percent 20-29,Percent 30-39,Percent 40-49,Percent 50-59,Percent 60-69,Percent 70-79,Percent Over 80,Age Diversity Index,Percent Under 30,Percent 10-29,Percent 18-29,High School Or Higher,Bachelor Or Higher,Postgrad Degree,Population White,Population Black,Population Native,Population Asian,Population Islander,Population Other,Population Two+,Population Hispanic,Race Diversity Index,Total Crime Rate,Violent Crime Rate,Property Crime Rate,Number of Events,Number of Events per Capita,Live Event Music Rate (LMER)
37340,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Palm Bay,FL,Florida,12,54000,27.9946969,-80.6366144,115560,103190.0,12370.0,1181.5,12.61,26.58,0.32,1.23,0.44,1.99,25066.0,54113.0,9.26,184600.0,48185,0.416969539633091,1059.0,1110.0,361.0,74.5,43.3,10666.0,15054.0,14757.0,13578.0,11440.0,16584.0,17066.0,8819.0,7596.0,23587.0,68240.0,23733.0,20.41,59.05,20.54,9.23,13.03,12.77,11.75,9.9,14.35,14.77,7.63,6.57,0.1179442313292416,35.03,25.8,14.62,91.24,20.43,7.41,67966.0,18722.0,572.0,1718.0,9.0,625.0,3202.0,19183.0,0.4266599686141162,1795.0,281.0,1514.0,18,0.0001557632398753,0.0001557632398753
41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,Palo Alto,CA,California,6,55282,37.4443293,-122.1598465,65365,64403.0,962.0,2740.3,16.25,26.11,7.96,10.03,3.86,21.85,98284.0,160360.0,3.82,2000001.0,31982,0.4892832555649047,2569.0,0.0,905.0,54.6,41.3,7953.0,8678.0,6558.0,8165.0,8829.0,8932.0,6055.0,5553.0,4642.0,15763.0,36172.0,13430.0,24.12,55.34,20.55,12.17,13.28,10.03,12.49,13.51,13.66,9.26,8.5,7.1,0.1158440985428671,35.48,23.31,11.359999999999996,96.99,84.63,53.77,36579.0,1171.0,134.0,21562.0,57.0,287.0,3088.0,3695.0,0.4123606176441765,3074.0,124.0,2950.0,10,0.0001529870725923,0.0001529870725923
12680,"Bardstown, KY",Micropolitan Statistical Area,Bardstown,KY,Kentucky,21,3628,37.8092279,-85.4669025,13094,11700.0,1394.0,1076.0,20.93,22.82,0.0,0.0,1.14,1.14,33674.0,54328.0,11.16,123500.0,6058,0.462654650985184,676.0,975.0,403.0,56.0,33.3,2030.0,1720.0,2223.0,1751.0,1452.0,1442.0,1306.0,661.0,509.0,3370.0,7816.0,1908.0,25.74,59.69,14.57,15.5,13.14,16.98,13.37,11.09,11.01,9.97,5.05,3.89,0.1263606777943004,45.620000000000005,30.12,19.88000000000001,88.3,18.35,7.63,10595.0,1654.0,0.0,40.0,0.0,18.0,409.0,378.0,0.672473807152603,2742.0,113.0,2629.0,2,0.000152741713762,0.000152741713762
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,Gardena,CA,California,6,28168,33.8963593,-118.3053037,59709,58829.0,880.0,10243.2,8.6,28.55,3.54,0.46,2.64,6.640000000000001,27664.0,58447.0,13.71,474700.0,29323,0.4910984943643336,1309.0,2234.0,461.0,47.9,41.3,6695.0,6218.0,8046.0,7764.0,8356.0,8479.0,6995.0,4250.0,2906.0,11660.0,38005.0,10044.0,19.53,63.65,16.82,11.21,10.41,13.48,13.0,13.99,14.2,11.72,7.12,4.87,0.1193788663567014,35.1,23.89,15.57,82.41,25.39,6.85,5610.0,13279.0,59.0,14721.0,664.0,406.0,1497.0,23473.0,0.2744053910567433,2682.0,453.0,2230.0,9,0.000150731045571,0.000150731045571
41740,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan Statistical Area,Carlsbad,CA,California,6,11194,33.1580933,-117.3505966,115386,105328.0,10058.0,3056.6,12.34,29.16,1.35,0.45,1.25,3.05,63079.0,123409.0,4.75,886500.0,55983,0.4851801778378659,2025.0,3286.0,757.0,64.7,44.6,11494.0,15314.0,10516.0,11770.0,18416.0,18729.0,13418.0,9978.0,5751.0,24505.0,69489.0,21392.0,21.24,60.22,18.54,9.96,13.27,9.11,10.2,15.96,16.23,11.63,8.65,4.98,0.1215456484071959,32.34,22.38,11.100000000000003,96.67,61.07,25.13,83741.0,952.0,171.0,9071.0,256.0,357.0,3868.0,15837.0,0.5639521170583086,1772.0,192.0,1580.0,17,0.0001473315653545,0.0001473315653545
48780,"Williston, ND",Micropolitan Statistical Area,Williston,ND,North Dakota,38,86220,48.1465457,-103.621814,27250,14716.0,12534.0,1176.3,22.08,15.48,0.1,0.08,2.5,2.68,43515.0,84710.0,6.39,238700.0,14968,0.5492844036697248,964.0,1506.0,455.0,46.1,30.4,4483.0,3553.0,5318.0,4856.0,2898.0,2880.0,1790.0,684.0,788.0,7443.0,17661.0,2146.0,27.31,64.81,7.88,16.45,13.04,19.52,17.82,10.63,10.57,6.57,2.51,2.89,0.1421365679272465,49.01,32.56,21.7,90.56,25.25,5.15,20834.0,1512.0,748.0,308.0,47.0,244.0,985.0,2572.0,0.5987809629239824,2709.0,374.0,2335.0,4,0.0001467889908256,0.0001467889908256
25220,"Hammond, LA",Metropolitan Statistical Area,Hammond,LA,Louisiana,22,32755,30.5043583,-90.4611995,20668,20019.0,649.0,1472.3,25.11,24.02,0.54,0.97,6.22,7.729999999999999,21394.0,36921.0,30.97,159300.0,9060,0.4383588155602864,796.0,1260.0,381.0,47.2,28.7,2345.0,3874.0,4478.0,2238.0,2275.0,2005.0,1774.0,1155.0,524.0,4532.0,13590.0,2546.0,21.93,65.75,12.32,11.35,18.74,21.67,10.83,11.01,9.7,8.58,5.59,2.54,0.1392937071783558,51.76,40.41,29.83,85.07,29.47,11.16,9357.0,9876.0,40.0,287.0,0.0,13.0,184.0,911.0,0.435486380197761,4193.0,761.0,3432.0,3,0.0001451519256822,0.0001451519256822
38180,"Pierre, SD",Micropolitan Statistical Area,Pierre,SD,South Dakota,46,49600,44.3683644,-100.3511367,13961,13646.0,315.0,1071.7,22.27,9.79,1.17,0.11,4.8,6.08,33351.0,62192.0,13.84,175600.0,7413,0.5309791562209011,667.0,1336.0,509.0,64.7,37.4,1858.0,1486.0,1907.0,2145.0,1368.0,1721.0,1841.0,889.0,746.0,3024.0,8617.0,2320.0,21.66,61.72,16.62,13.31,10.64,13.66,15.36,9.8,12.33,13.19,6.37,5.34,0.120338585445456,37.61,24.3,15.95,92.12,35.14,10.4,11309.0,24.0,1789.0,3.0,0.0,0.0,384.0,452.0,0.6743734233863511,3895.0,922.0,2974.0,2,0.0001432562137382,0.0001432562137382
39340,"Provo-Orem, UT",Metropolitan Statistical Area,Orem,UT,Utah,49,57300,40.2971825,-111.694943,97839,88328.0,9511.0,5295.3,21.46,19.99,2.22,1.72,1.42,5.36,27266.0,70465.0,10.58,332300.0,47985,0.4904485941189096,1034.0,1462.0,418.0,60.0,27.4,15410.0,15299.0,23357.0,13948.0,9201.0,7802.0,6530.0,3630.0,2662.0,27525.0,61154.0,9160.0,28.13,62.5,9.36,15.75,15.64,23.87,14.26,9.4,7.97,6.67,3.71,2.72,0.1483393511907156,55.260000000000005,39.510000000000005,27.13000000000001,93.24,41.48,12.23,73522.0,573.0,402.0,2027.0,1014.0,83.0,2872.0,16232.0,0.6074148274521662,2163.0,107.0,2056.0,14,0.0001430922229376,0.0001430922229376
35620,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,Lakewood,NJ,New Jersey,34,38580,40.092024,-74.21219645621468,56072,53805.0,2267.0,7920.3,7.37,20.84,2.69,0.38,7.33,10.4,14872.0,50897.0,29.55,474400.0,16017,0.2856505920958767,1388.0,2650.0,1268.0,35.9,16.9,18031.0,13105.0,9063.0,5752.0,4307.0,2459.0,1838.0,711.0,806.0,29163.0,24506.0,2403.0,52.01,43.7,4.29,32.16,23.37,16.16,10.26,7.68,4.39,3.28,1.27,1.44,0.2039290852677589,71.69,39.53,19.68,84.71,31.51,14.11,48171.0,784.0,0.0,331.0,0.0,12.0,149.0,6625.0,0.7522317088860793,928.0,121.0,806.0,8,0.0001426737052361,0.0001426737052361
